pair,cutoff_year,split,year_definition,n_dual,n_A_only,n_B_only,n_neither,n_undated_panel_scored,auroc_reportable,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,note
EGFR/HER2,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,18,29,16,4,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,9,16,20,2,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,2,1,7,2,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,30,31,25,12,0,1,0.5919,0.6853,0.5919,0.4375,0.7185,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,11,11,8,8,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,21,21,24,6,0,1,0.6531,0.7937,0.6531,0.4755,0.81,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,22,20,24,10,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/JAK2,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,10,12,8,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,32,27,26,9,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,0,4,6,5,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,32,31,30,12,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,0,0,2,2,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,32,31,30,13,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARG/PPARA,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,0,0,2,1,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,26,30,29,8,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,2,3,6,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,26,31,30,10,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,1,2,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,26,31,30,10,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PPARA/PPARD,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,1,2,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
